Fecha;Arbitro;Local;Visita;GL;GV;PL;PV;RemL;RemV;RpL;RpV;RfL;RfV;RbL;RbV;CL;CV;OffL;OffV;ArqL;ArqV;FL;FV;RL;RV;AL;AV;TpL;TpV;BkL;BkV;AtaqL;AtaqV;DAtaqL;DAtaqV
06.08.2022 15:30;Perez R. B. (Per);Binacional;Ayacucho;4;1;54%;46%;20;27;6;7;12;14;2;6;7;7;4;3;6;2;14;18;0;0;1;4;377;306;10;12;101;102;89;80
06.08.2022 13:15;Quiroz J. C. (Per);AD Cantolao;Sporting Cristal;2;2;31%;69%;10;23;2;6;4;11;4;6;2;6;1;3;4;0;21;16;2;0;5;5;277;617;11;13;87;140;46;89
06.08.2022 11:00;Villegas H. (Per);San Martín;Alianza Atl.;1;0;44%;56%;10;15;3;4;6;7;1;4;5;6;2;4;4;2;16;10;0;0;2;2;332;427;13;11;94;126;72;99
01.08.2022 13:00;Lozano S. (Per);Sport Boys;César Vallejo;1;2;43%;57%;11;19;3;6;5;7;3;6;3;6;3;1;4;2;17;22;0;0;1;4;333;461;20;14;100;114;70;77
31.07.2022 15:30;Ortega K. (Per);Sporting Cristal;Alianza Lima;0;0;56%;44%;14;9;8;3;4;4;2;2;8;2;0;4;3;8;10;17;0;0;2;4;467;365;16;17;117;103;84;59
31.07.2022 15:00;Menendez A. (Per);ADT Tarma;Binacional;1;0;51%;49%;16;9;6;0;10;9;-;-;11;2;-;-;0;5;-;-;1;0;1;6;-;-;-;-;101;93;83;70
31.07.2022 13:00;Espinoza J. (Per);Carlos Mannucci;AD Cantolao;0;0;39%;61%;17;8;9;3;8;2;0;3;4;9;2;0;3;9;14;14;1;1;4;3;323;535;23;13;122;119;75;85
31.07.2022 13:00;Vasquez B. (Per);Grau;San Martín;1;0;49%;51%;7;3;3;2;4;1;-;-;5;4;-;-;2;2;-;-;0;0;1;4;-;-;-;-;87;89;55;46
31.07.2022 11:00;Huamani J. (Per);Alianza Atl.;Carlos Stein;2;1;55%;45%;13;8;3;2;7;4;3;2;2;6;2;1;1;1;17;9;0;0;1;1;455;360;12;11;123;107;69;66
30.07.2022 18:00;Lopez Ramos P. (Esp);Universitario;Dep. Municipal;0;1;59%;41%;19;2;7;1;8;0;4;1;11;1;2;2;0;7;18;14;0;0;1;3;469;345;10;22;141;91;130;27
30.07.2022 15:15;Garay L. (Per);Ayacucho;Cienciano;0;1;54%;46%;16;13;5;6;10;5;1;2;7;4;1;5;5;5;9;20;0;0;3;4;331;282;6;21;108;92;79;56
29.07.2022 15:30;Ureta D. (Per);Melgar;UTC;1;0;71%;29%;16;7;6;3;6;3;4;1;6;4;3;1;3;5;16;15;0;0;4;3;450;173;10;16;115;80;83;51
